project,previous_name,permittee,subwatershed,project_type,description,latitude,longitude,required_completion_date,actual_completion_date,capital_costs,cum_om_costs,funding_sources,project_footprint,drainage,projected_storage_capacity,actual_storage_24,actual_storage,cum_volume,WMG,Latitude,Longitude,cum_volume_raw,cum_volume_clean
Bluff Cove bluff top restoration,Bluff Cove Stabilization Project,Palos Verdes Estates,Santa Monica Bay,"LID Retrofit, Bioretention","Demolition/removal of seven bluff top ocean front homes on Bluff Cove and designation as public open space. 1.5 acres of impervious surfaces removed on a 4.1 acre site. Design storage volume calculated as difference between pre- and post-project runoff during the 85th%-24-hour storm. A stormwater collection/removal system was installed to protect the bluff from erosion including two concrete flumes, four sump pumps and two monitoring sump pump control stations.",33.791741999999999,-118.40503200000001,Not Applicable,2015-04-01T00:00:00Z,1175000,0,Other Municipal Program,4.10 ac,4.10 ac,0.00 ac-ft,1.69 ac-ft,0.05 ac-ft,23.511706,Peninsula Cities,33.791742,-118.405032,23.511706,23.511706
Casaba Estates,Butcher Ranch,Rolling Hills Estates,Machado Lake,"LID Retrofit, Bioretention",Surface Retention Basin,33.774537000000002,-118.325215,43354,2016-01-01T00:00:00Z,0,0,Not Applicable,0.24 ac,28.62 ac,1.23 ac-ft,1.66 ac-ft,1.23 ac-ft,75.014082,Peninsula Cities,33.774537,-118.325215,75.014082000000002,75.014082000000002
DMA-1: Chandler Ranch-Rolling Hills Country Club Regional Project,Chandler Quarry,"Rolling Hills Estates, Rolling Hills, Torrance",Machado Lake,Regional Infiltration Gallery,Subsurface Retention and Infiltration with pretreatment,33.783355999999998,-118.322744,43354,2018-01-03T00:00:00Z,0,0,Not Applicable,0.52 ac,705.20 ac,3.78 ac-ft,985.03 ac-ft,4.59 ac-ft,890.596594,Peninsula Cities,33.783356,-118.322744,890.59659399999998,890.59659399999998
DMA-2: Chandler Ranch-Rolling Hills Country Club,Chandler Quarry,"Rolling Hills Estates, Rolling Hills",Machado Lake,Regional Infiltration Gallery,Subsurface Retention and Infiltration with pretreatment,33.782448000000002,-118.320598,43354,2018-01-03T00:00:00Z,0,0,Not Applicable,0.13 ac,44.90 ac,0.69 ac-ft,2.62 ac-ft,0.69 ac-ft,48.288387,Peninsula Cities,33.782448,-118.320598,48.288387,48.288387
DMA-3: Chandler Ranch-Rolling Hills Country Club Regional Project,Chandler Quarry,"Rolling Hills Estates, Rolling Hills",Machado Lake,Regional Infiltration Gallery,Subsurface Retention and Infiltration with pretreatment,33.783875000000002,-118.320212,43354,2018-01-03T00:00:00Z,0,0,Not Applicable,0.02 ac,3.80 ac,0.04 ac-ft,0.29 ac-ft,0.09 ac-ft,4.493591,Peninsula Cities,33.783875,-118.320212,4.4935910000000003,4.4935910000000003
Hawthorne Boulevard Median Landscape Project,Not Applicable,Rancho Palos Verdes,Santa Monica Bay,"Green Street, Bioretention",(11) Bioretention medians,33.760854999999999,-118.393576,Not Applicable,2020-11-20T00:00:00Z,2115166,215990.56,"Other State Program, Other Municipal Program",1.13 ac,20.00 ac,Not Applicable,1.80 ac-ft,1.13 ac-ft,10.258829,Peninsula Cities,33.760855,-118.393576,10.258829,10.258829
Ladera Linda Community Park Project,Not Applicable,Rancho Palos Verdes,Santa Monica Bay,"LID Retrofit, Biofiltration",(3) Biofiltration Planters; (1) Detention system (Permeable Concrete),33.737923000000002,-118.34904299999999,Not Applicable,2023-11-29T00:00:00Z,13721000,27163.72,Other Municipal Program,0.12 ac,6.56 ac,Not Applicable,0.13 ac-ft,0.13 ac-ft,1.61456,Peninsula Cities,33.737923,-118.349043,1.61456,1.61456
ML-1 RHE Project,Not Applicable,Rolling Hills Estates,Machado Lake,Infiltration Well,Dual infiltration dry wells equipped with pretreatment unit,33.782589000000002,-118.31928600000001,46661,2024-11-25T00:00:00Z,1861550,0,"Safe, Clean Water, Other Federal Program",0.00 ac,107.30 ac,0.40 ac-ft,0.43 ac-ft,0.02 ac-ft,0,Peninsula Cities,33.782589,-118.319286,0,0
PVDN-RHR Detention Basin,Not Applicable,Rolling Hills Estates,Machado Lake,Regional Infiltration Gallery,Surface detention basin with infiltration,33.776629999999997,-118.344341,Not Applicable,2023-06-16T00:00:00Z,85163,0,Not Applicable,0.06 ac,10.00 ac,Not Applicable,0.14 ac-ft,0.14 ac-ft,1.022019,Peninsula Cities,33.77663,-118.344341,1.022019,1.022019
Rolling Hills LA Harbor NBRR,Not Applicable,Rolling Hills,Los Angeles Harbor,Other (specify),"Enhanced LID applied in combination with natural canyon drainage retains runoff from 85%, 24-rain event for all areas of City",33.756042999999998,-118.34127599999999,Not Applicable,2012-12-28T00:00:00Z,0,0,Not Applicable,493.00 ac,704.00 ac,Not Applicable,43.10 ac-ft,43.10 ac-ft,2011.418246,Peninsula Cities,33.756043,-118.341276,2011.418246,2011.418246
Rolling Hills Machado Lake NBRR,Not Applicable,Rolling Hills,Machado Lake,Other (specify),"Enhanced LID applied in combination with natural canyon drainage retains runoff from 85%, 24-rain event for all areas of City",33.765073000000001,-118.351208,Not Applicable,2012-12-28T00:00:00Z,0,0,Not Applicable,582.00 ac,832.00 ac,Not Applicable,72.80 ac-ft,72.80 ac-ft,2455.427378,Peninsula Cities,33.765073,-118.351208,2455.4273779999999,2455.4273779999999
Rolling Hills Santa Monica Bay NBRR,Not Applicable,Rolling Hills,Santa Monica Bay,Other (specify),"Enhanced LID applied in combination with natural canyon drainage retains runoff from 85%, 24-rain event for all areas of City",33.747695,-118.348167,Not Applicable,2012-12-28T00:00:00Z,0,0,Not Applicable,287.00 ac,410.00 ac,Not Applicable,34.20 ac-ft,34.20 ac-ft,1023.263487,Peninsula Cities,33.747695,-118.348167,1023.2634870000001,1023.2634870000001
San Ramon Canyon Stormwater Flood Reduction Project,Not Applicable,Rancho Palos Verdes,Santa Monica Bay,Other (specify),"The project consists of a mid-canyon inlet structure connected to a 3,900-ft by 54-in pipe that outlets below the oceanfront bluff, bypassing a highly erodible section of the canyon. The project improves water quality by substantially reduc ing erosion and minizing debris and sediment transport to this drain by diverting all stormwater runoff from a greater than 1/4 inch rain event to the underground pipe, diverting it from the erosive canyon.",33.730345,-118.328869,Not Applicable,2014-10-15T00:00:00Z,15449194,40975.9,"CA State Proposition 1, Other Municipal Program",0.00 ac,0.00 ac,Not Applicable,0.00 ac-ft,0.00 ac-ft,0,Peninsula Cities,33.730345,-118.328869,0,0
7th Avenue,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",pervious sidewalk,34.016607,-117.989711,Not Applicable,2013-07-31T00:00:00Z,22000,23255,Other Municipal Program,0.06 ac,0.51 ac,Not Applicable,0.09 ac-ft,0.03 ac-ft,2.594055,Upper San Gabriel River,34.016607,-117.989711,2.594055,2.594055
Arrow Highway Rehabilitation,Not Applicable,Covina,Walnut Creek,"Green Street, Biofiltration",Bioswales,34.106046569999997,-117.873797,Not Applicable,2023-11-29T00:00:00Z,150000,300,Not Applicable,0.01 ac,0.87 ac,Not Applicable,0.14 ac-ft,0.01 ac-ft,0.496112,Upper San Gabriel River,34.10604657,-117.873797,0.496112,0.496112
ATP Cycle 3_ Pacific Avenue Complete Street,Not Applicable,Baldwin Park,Walnut Creek,"Green Street, Bioretention","1 BMP: Green Street, Bioretention",34.080556000000001,-117.95691600000001,Not Applicable,2020-08-09T00:00:00Z,0,0,Not Applicable,0.01 ac,5.00 ac,0.00 ac-ft,0.07 ac-ft,0.00 ac-ft,0,Upper San Gabriel River,34.080556,-117.956916,0,0
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.034692,-117.98675,Not Applicable,2014-09-26T00:00:00Z,7500,2021.9,"Other State Program, Other Municipal Program",0.00 ac,0.09 ac,Not Applicable,0.02 ac-ft,0.00 ac-ft,0.647591,Upper San Gabriel River,34.034692,-117.98675,0.64759100000000003,0.64759100000000003
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.033434999999997,-117.98797999999999,Not Applicable,2014-09-26T00:00:00Z,7500,1444.2,"Other State Program, Other Municipal Program",0.00 ac,0.07 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.477731,Upper San Gabriel River,34.033435,-117.98798,0.47773100000000002,0.47773100000000002
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.033650000000002,-117.98776599999999,Not Applicable,2014-09-26T00:00:00Z,7500,3080.8,"Other State Program, Other Municipal Program",0.00 ac,0.14 ac,Not Applicable,0.03 ac-ft,0.01 ac-ft,1.029776,Upper San Gabriel River,34.03365,-117.987766,1.029776,1.029776
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.029012000000002,-117.992456,Not Applicable,2014-09-26T00:00:00Z,7500,23876.2,"Other State Program, Other Municipal Program",0.02 ac,1.09 ac,Not Applicable,0.20 ac-ft,0.05 ac-ft,7.895836,Upper San Gabriel River,34.029012,-117.992456,7.8958360000000001,7.8958360000000001
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.032037000000003,-117.989389,Not Applicable,2014-09-26T00:00:00Z,7500,4621.2,"Other State Program, Other Municipal Program",0.00 ac,0.21 ac,Not Applicable,0.04 ac-ft,0.01 ac-ft,1.52874,Upper San Gabriel River,34.032037,-117.989389,1.52874,1.52874
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.034548000000001,-117.98688900000001,Not Applicable,2014-09-26T00:00:00Z,7500,1925.6,"Other State Program, Other Municipal Program",0.00 ac,0.09 ac,Not Applicable,0.02 ac-ft,0.00 ac-ft,0.626358,Upper San Gabriel River,34.034548,-117.986889,0.62635799999999997,0.62635799999999997
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.032634000000002,-117.98879700000001,Not Applicable,2014-09-26T00:00:00Z,7500,1636.9,"Other State Program, Other Municipal Program",0.00 ac,0.08 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.552044,Upper San Gabriel River,34.032634,-117.988797,0.55204399999999998,0.55204399999999998
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.036563999999998,-117.984898,Not Applicable,2014-09-26T00:00:00Z,7500,1829.4,"Other State Program, Other Municipal Program",0.00 ac,0.08 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.594509,Upper San Gabriel River,34.036564,-117.984898,0.59450899999999995,0.59450899999999995
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.036313999999997,-117.985146,Not Applicable,2014-09-26T00:00:00Z,7500,2503.1,"Other State Program, Other Municipal Program",0.00 ac,0.11 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.828067,Upper San Gabriel River,34.036314,-117.985146,0.828067,0.828067
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.029515000000004,-117.991894,Not Applicable,2014-09-26T00:00:00Z,7500,2984.6,"Other State Program, Other Municipal Program",0.00 ac,0.14 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.997928,Upper San Gabriel River,34.029515,-117.991894,0.99792800000000004,0.99792800000000004
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.035541000000002,-117.985912,Not Applicable,2014-09-26T00:00:00Z,7500,1925.6,"Other State Program, Other Municipal Program",0.00 ac,0.09 ac,Not Applicable,0.02 ac-ft,0.00 ac-ft,0.615742,Upper San Gabriel River,34.035541,-117.985912,0.61574200000000001,0.61574200000000001
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.032806999999998,-117.988619,Not Applicable,2014-09-26T00:00:00Z,7500,2214.4,"Other State Program, Other Municipal Program",0.00 ac,0.10 ac,Not Applicable,0.02 ac-ft,0.00 ac-ft,0.721904,Upper San Gabriel River,34.032807,-117.988619,0.72190399999999999,0.72190399999999999
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.035055,-117.986396,Not Applicable,2014-09-26T00:00:00Z,7500,5391.4,"Other State Program, Other Municipal Program",0.00 ac,0.25 ac,Not Applicable,0.04 ac-ft,0.01 ac-ft,1.794147,Upper San Gabriel River,34.035055,-117.986396,1.7941469999999999,1.7941469999999999
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.034838999999998,-117.986608,Not Applicable,2014-09-26T00:00:00Z,7500,770.2,"Other State Program, Other Municipal Program",0.00 ac,0.04 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.276023,Upper San Gabriel River,34.034839,-117.986608,0.27602300000000002,0.27602300000000002
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.029783999999999,-117.99162,Not Applicable,2014-09-26T00:00:00Z,7500,770.2,"Other State Program, Other Municipal Program",0.00 ac,0.03 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.244173,Upper San Gabriel River,34.029784,-117.99162,0.244173,0.244173
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.030315000000002,-117.991094,Not Applicable,2014-09-26T00:00:00Z,7500,7317,"Other State Program, Other Municipal Program",0.01 ac,0.34 ac,Not Applicable,0.06 ac-ft,0.02 ac-ft,2.431121,Upper San Gabriel River,34.030315,-117.991094,2.4311210000000001,2.4311210000000001
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.030070000000002,-117.99134100000001,Not Applicable,2014-09-26T00:00:00Z,7500,577.70000000000005,"Other State Program, Other Municipal Program",0.00 ac,0.02 ac,Not Applicable,0.00 ac-ft,0.00 ac-ft,0.180477,Upper San Gabriel River,34.03007,-117.991341,0.180477,0.180477
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.033047000000003,-117.988367,Not Applicable,2014-09-26T00:00:00Z,7500,1251.7,"Other State Program, Other Municipal Program",0.00 ac,0.06 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.414033,Upper San Gabriel River,34.033047,-117.988367,0.41403299999999998,0.41403299999999998
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.032978,-117.988437,Not Applicable,2014-09-26T00:00:00Z,7500,577.70000000000005,"Other State Program, Other Municipal Program",0.00 ac,0.03 ac,Not Applicable,0.00 ac-ft,0.00 ac-ft,0.191093,Upper San Gabriel River,34.032978,-117.988437,0.19109300000000001,0.19109300000000001
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.032420999999999,-117.989008,Not Applicable,2014-09-26T00:00:00Z,7500,2888.3,"Other State Program, Other Municipal Program",0.00 ac,0.13 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.966079,Upper San Gabriel River,34.032421,-117.989008,0.96607900000000002,0.96607900000000002
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.035736999999997,-117.98571800000001,Not Applicable,2014-09-26T00:00:00Z,7500,2503.1,"Other State Program, Other Municipal Program",0.00 ac,0.11 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.828067,Upper San Gabriel River,34.035737,-117.985718,0.828067,0.828067
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.035952000000002,-117.985505,Not Applicable,2014-09-26T00:00:00Z,7500,770.2,"Other State Program, Other Municipal Program",0.00 ac,0.03 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.244173,Upper San Gabriel River,34.035952,-117.985505,0.244173,0.244173
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.034267999999997,-117.987161,Not Applicable,2014-09-26T00:00:00Z,7500,2599.6,"Other State Program, Other Municipal Program",0.00 ac,0.12 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.870532,Upper San Gabriel River,34.034268,-117.987161,0.87053199999999997,0.87053199999999997
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.033296,-117.988119,Not Applicable,2014-09-26T00:00:00Z,7500,3754.8,"Other State Program, Other Municipal Program",0.00 ac,0.17 ac,Not Applicable,0.03 ac-ft,0.01 ac-ft,1.210252,Upper San Gabriel River,34.033296,-117.988119,1.2102520000000001,1.2102520000000001
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.036473000000001,-117.984987,Not Applicable,2014-09-26T00:00:00Z,7500,1444.2,"Other State Program, Other Municipal Program",0.00 ac,0.07 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.477731,Upper San Gabriel River,34.036473,-117.984987,0.47773100000000002,0.47773100000000002
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.031787000000001,-117.989636,Not Applicable,2014-09-26T00:00:00Z,7500,3273.3,"Other State Program, Other Municipal Program",0.00 ac,0.15 ac,Not Applicable,0.03 ac-ft,0.01 ac-ft,1.061625,Upper San Gabriel River,34.031787,-117.989636,1.061625,1.061625
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.036098000000003,-117.98536,Not Applicable,2014-09-26T00:00:00Z,7500,2695.8,"Other State Program, Other Municipal Program",0.00 ac,0.12 ac,Not Applicable,0.02 ac-ft,0.01 ac-ft,0.891765,Upper San Gabriel River,34.036098,-117.98536,0.89176500000000003,0.89176500000000003
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.034979,-117.98647099999999,Not Applicable,2014-09-26T00:00:00Z,7500,770.2,"Other State Program, Other Municipal Program",0.00 ac,0.04 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.265406,Upper San Gabriel River,34.034979,-117.986471,0.26540599999999998,0.26540599999999998
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.031095000000001,-117.990309,Not Applicable,2014-09-26T00:00:00Z,7500,7605.8,"Other State Program, Other Municipal Program",0.01 ac,0.35 ac,Not Applicable,0.06 ac-ft,0.02 ac-ft,2.505435,Upper San Gabriel River,34.031095,-117.990309,2.5054349999999999,2.5054349999999999
Avocado Heights Multiuse Trail,Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.035428000000003,-117.986025,Not Applicable,2014-09-26T00:00:00Z,7500,1347.9,"Other State Program, Other Municipal Program",0.00 ac,0.06 ac,Not Applicable,0.01 ac-ft,0.00 ac-ft,0.445881,Upper San Gabriel River,34.035428,-117.986025,0.44588100000000003,0.44588100000000003
Badillo East Rehabilitation,Not Applicable,Covina,Walnut Creek,"Green Street, Biofiltration",Biofiltration,34.086288000000003,-117.890226,Not Applicable,2021-07-01T00:00:00Z,150000,21640,Not Applicable,0.00 ac,0.07 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0,Upper San Gabriel River,34.086288,-117.890226,0,0
Badillo West Rehabilitation,Not Applicable,Covina,Walnut Creek,"Green Street, Biofiltration",Biofiltration,34.086198000000003,-117.86385300000001,Not Applicable,2021-01-02T00:00:00Z,150000,21640,Not Applicable,0.00 ac,0.13 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0,Upper San Gabriel River,34.086198,-117.863853,0,0
Ballentine Pl et al,Not Applicable,Unincorporated LA County,Walnut Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.095844999999997,-117.92868300000001,Not Applicable,2019-05-22T00:00:00Z,456000,56275,"Other State Program, Other Municipal Program",0.53 ac,17.43 ac,Not Applicable,8.09 ac-ft,0.41 ac-ft,55.632366,Upper San Gabriel River,34.095845,-117.928683,55.632365999999998,55.632365999999998
Banna Ave & Badillo St Median Renovation,Not Applicable,Covina,Walnut Creek,"Green Street, Biofiltration",Bioswale,34.086286110000003,-117.8596407,Not Applicable,2023-10-19T00:00:00Z,107760,300,Not Applicable,0.01 ac,0.11 ac,Not Applicable,0.03 ac-ft,0.01 ac-ft,NA,Upper San Gabriel River,34.08628611,-117.8596407,4.2238999999999999E-2,4.2238999999999999-2
Banna Park Improvement,Not Applicable,Covina,Walnut Creek,"LID Retrofit, Bioretention",Bioretention,34.095416999999998,-117.85850499999999,Not Applicable,2020-10-20T00:00:00Z,120000,21470,Not Applicable,0.00 ac,1.03 ac,Not Applicable,0.02 ac-ft,0.02 ac-ft,0,Upper San Gabriel River,34.095417,-117.858505,0,0
Charter Oak Reservoir No. 4,Not Applicable,Covina,Walnut Creek,"LID Retrofit, Biofiltration",Bioswales,34.095562000000001,-117.847149,Not Applicable,2016-01-02T00:00:00Z,200000,23470,Not Applicable,0.05 ac,0.90 ac,Not Applicable,0.91 ac-ft,0.01 ac-ft,6.18438,Upper San Gabriel River,34.095562,-117.847149,6.18438,6.18438
City Hall Landscape Revitilization,Not Applicable,Covina,Walnut Creek,"LID Retrofit, Biofiltration",Bioswales,34.087952999999999,-117.88903000000001,Not Applicable,2021-03-02T00:00:00Z,250000,23640,Not Applicable,0.01 ac,0.50 ac,Not Applicable,0.15 ac-ft,0.03 ac-ft,1.042151,Upper San Gabriel River,34.087953,-117.88903,1.042151,1.042151
City Maintenance Yard Access Road,Not Applicable,La Puente,San Jose Creek,"LID Retrofit, Biofiltration",Infiltration at the yard access road,34.014426,-117.952625,Not Applicable,2022-04-11T00:00:00Z,729970,0,Not Applicable,0.01 ac,0.25 ac,Not Applicable,0.07 ac-ft,0.06 ac-ft,0.617473,Upper San Gabriel River,34.014426,-117.952625,0.61747300000000005,0.61747300000000005
Cougar Park,Not Applicable,Covina,Walnut Creek,"LID Retrofit, Bioretention",Bioretention,34.082509000000002,-117.89416300000001,Not Applicable,2016-01-02T00:00:00Z,300000,23470,Not Applicable,0.03 ac,1.37 ac,Not Applicable,0.26 ac-ft,0.02 ac-ft,8.298072,Upper San Gabriel River,34.082509,-117.894163,8.2980719999999994,8.2980719999999994
Cougar Park Parking Lot (LID),Not Applicable,Covina,Walnut Creek,"LID Retrofit, Bioretention",Bioretention,34.081040999999999,-117.892185,Not Applicable,2023-01-13T00:00:00Z,250000,470,Not Applicable,0.01 ac,0.20 ac,Not Applicable,0.16 ac-ft,0.01 ac-ft,0.180647,Upper San Gabriel River,34.081041,-117.892185,0.180647,0.180647
Covina Senior and Community Center,Not Applicable,Covina,Walnut Creek,"LID Retrofit, Bioretention",Infiltration basins,34.094157000000003,-117.88305800000001,Not Applicable,2019-08-07T00:00:00Z,200000,33470,Not Applicable,0.12 ac,1.82 ac,Not Applicable,1.56 ac-ft,0.12 ac-ft,5.873714,Upper San Gabriel River,34.094157,-117.883058,5.8737139999999997,5.8737139999999997
Foster Ave Drainage Improvements,Not Applicable,Baldwin Park,Walnut Creek,"Green Street, Biofiltration","1 BMP: Green Street, Bioretention",34.072001999999998,-117.971946,Not Applicable,2023-09-16T00:00:00Z,293631.34000000003,0,Not Applicable,0.01 ac,0.01 ac,0.00 ac-ft,0.13 ac-ft,0.00 ac-ft,0,Upper San Gabriel River,34.072002,-117.971946,0,0
IBCE East Basin,Not Applicable,Industry,San Jose Creek,"LID Retrofit, Biofiltration",Portion of a developments drainage area discharges into prior to leaving development and allowed to biofiltrate before being collected in underdrain and discharged from the development.,34.029778,-117.821635,42767,2017-02-01T00:00:00Z,80330,369210,Other Municipal Program,4.95 ac,193.20 ac,8.64 ac-ft,51.46 ac-ft,12.70 ac-ft,940.654881,Upper San Gabriel River,34.029778,-117.821635,940.65488100000005,940.65488100000005
IBCE North Basin,Not Applicable,Industry,San Jose Creek,"LID Retrofit, Biofiltration",Portion of a developments drainage area discharges into prior to leaving development and allowed to biofiltrate before being collected in underdrain and discharged from the development.,34.016679000000003,-117.827977,43313,2018-08-01T00:00:00Z,55630,38405,Other Municipal Program,0.70 ac,16.60 ac,1.46 ac-ft,4.71 ac-ft,4.40 ac-ft,108.135883,Upper San Gabriel River,34.016679,-117.827977,108.13588300000001,108.13588300000001
IBCE South Basin,Not Applicable,Industry,San Jose Creek,"LID Retrofit, Biofiltration",Portion of a developments drainage area discharges into prior to leaving development and allowed to biofiltrate before being collected in underdrain and discharged from the development.,34.009450999999999,-117.82533100000001,43313,2018-08-01T00:00:00Z,55630,21395,Other Municipal Program,0.39 ac,8.40 ac,0.39 ac-ft,3.27 ac-ft,3.10 ac-ft,29.675678,Upper San Gabriel River,34.009451,-117.825331,29.675678000000001,29.675678000000001
IBCE West Basin,Not Applicable,Industry,San Jose Creek,"LID Retrofit, Biofiltration",Portion of a developments drainage area discharges into prior to leaving development and allowed to biofiltrate before being collected in underdrain and discharged from the development.,34.003785000000001,-117.839084,42736,2017-01-01T00:00:00Z,143120,144870,Other Municipal Program,1.91 ac,150.50 ac,14.60 ac-ft,28.86 ac-ft,28.01 ac-ft,1311.398854,Upper San Gabriel River,34.003785,-117.839084,1311.398854,1311.398854
"LOS PALACIOS DRIVE, ET AL",Not Applicable,Unincorporated LA County,San Jose Creek,"Green Street, Bioretention",biofiltration feature with curb cutouts to treat stormwater before entering existing storm drain system,33.992209000000003,-117.911248,Not Applicable,2016-03-31T00:00:00Z,7500,3813.7,Other State Program,0.00 ac,0.02 ac,Not Applicable,0.00 ac-ft,0.00 ac-ft,NA,Upper San Gabriel River,33.992209,-117.911248,7.4453000000000005E-2,7.4453000000000005-2
